id,language,language_name,true_label,predicted,confidence,error
ur_98001680c49cd300add356fa765c2bd7,urd,Urdu,1,1,0.85,
ur_2fe4c6227179e8d8cc12013dcb5f6672,urd,Urdu,1,1,0.8,
ur_953148e58495efd865be4fdd1b5dd5c9,urd,Urdu,1,1,0.85,
ur_deac25d0f1f676a5c8be20ca2ae86599,urd,Urdu,1,1,0.75,
ur_21815e6aac94d19bb8ef96f850333a6e,urd,Urdu,1,1,0.95,
ur_3847753c2b898e7f9c5e453f13409409,urd,Urdu,1,1,0.85,
ur_ff5b2ad7c89b056f80d3beb1164b11d2,urd,Urdu,1,1,0.95,
ur_566b33c835e1377c768de8d8cf470217,urd,Urdu,0,0,0.7,
ur_bc59da7db6d520291947527bdd75fac8,urd,Urdu,0,0,0.7,
ur_af67c24852044bf791012d04e995d36d,urd,Urdu,1,1,0.8,
ur_81c8d5ccfc0855d12c7a81750ef805d2,urd,Urdu,1,1,0.75,
ur_ff6c19e85d06a0bb8091cddd0dce1839,urd,Urdu,1,1,0.85,
ur_1c36e67509706d3ec5392c77ce51add6,urd,Urdu,1,0,0.7,
ur_7e6d4eb8ecfd05b62ade1f1a7e20ace9,urd,Urdu,1,1,0.85,
ur_dfd6a37ba40566bc99688301d04fd350,urd,Urdu,1,1,0.95,
ur_27e20277943608500cb7af9782544be4,urd,Urdu,1,1,0.85,
ur_cb61ff492172d2a483c717ef59cdbce4,urd,Urdu,0,0,0.7,
ur_7444336a6f12aba99129c884cef6c6f2,urd,Urdu,1,1,0.8,
ur_2406c2242ce19d683b4028982b94b6e8,urd,Urdu,1,1,0.85,
ur_4ce261bfd337b8aef44a60124d87ccce,urd,Urdu,0,1,0.8,
ur_ede06a99253782a7021a04cc419e35f7,urd,Urdu,1,1,0.9,
ur_a9d0221ead43498d880c3ad46cf2684f,urd,Urdu,1,1,0.95,
ur_152dbbf3793e0e59651b065486ec7601,urd,Urdu,0,0,0.7,
ur_274e3492f5bcbd592ad6330692727a37,urd,Urdu,0,0,0.8,
ur_e7c496296b8524171e651176e55f7458,urd,Urdu,1,1,0.75,
ur_3901aa877531cb1a6d41b12fc9608b79,urd,Urdu,1,1,0.85,
ur_f062bafd1d6d63ffa0477daec0a62eef,urd,Urdu,1,1,0.85,
ur_a6ddd9120b468c20b2ac7b3554796abb,urd,Urdu,0,0,0.7,
ur_1ee45f19319607631c4e51056f2d94dd,urd,Urdu,1,1,0.8,
ur_6a81296d14caa2085222b6e5949e4690,urd,Urdu,0,0,0.7,
ur_6166add293480d6c78693c93657c5e7f,urd,Urdu,0,0,0.8,
ur_d3d3964f7d9a9acc39734db37e987c21,urd,Urdu,1,1,0.75,
ur_69ad382a9c59685575fa6a9180bbaf88,urd,Urdu,1,1,0.8,
ur_e8e6ff888958d0d36d4e90af4fada994,urd,Urdu,1,1,0.85,
ur_f8502d2c32a7ce8cede556adf6259f1c,urd,Urdu,1,1,0.85,
ur_27cfedd833ca0ac33e7406120e817db4,urd,Urdu,1,1,0.85,
ur_32a6c3d1616d7658a09deef09dae73b2,urd,Urdu,0,1,0.85,
ur_51a536f3a620f6e334c698f0fad3ee36,urd,Urdu,0,1,0.8,
ur_a5be1015315d7605191ccf4010c220fa,urd,Urdu,1,1,0.9,
ur_6e6caa739117aa3612abece6c72e9375,urd,Urdu,0,1,0.85,
ur_07f92e6228297a4db27db3f0e755a2a1,urd,Urdu,1,1,0.85,
ur_cf5c12f87862c391b3c35b2dc9e06a0e,urd,Urdu,0,0,0.8,
ur_688f9d4067bcdf55795fbed6164b98da,urd,Urdu,1,0,0.7,
ur_e5aadc927dc08bf84f8b415d62fea6db,urd,Urdu,1,0,0.7,
ur_1be597bf9719b0ca2ca0f6e9c6cb1be5,urd,Urdu,0,1,0.8,
ur_7e2f598a0a0e39145bfa290079bcb009,urd,Urdu,1,1,0.85,
ur_404a87313fba550e121921fbc5154c0f,urd,Urdu,0,0,0.3,
ur_ff4e21a65f843c45861ec28987427d81,urd,Urdu,1,1,0.75,
ur_187c2b46536ef6d22de964941486c82e,urd,Urdu,1,1,0.85,
ur_9161354836f3c71ffc0d5bb6d5071057,urd,Urdu,1,1,0.85,
ur_9175463e25ac64adab4e7ca36a87aafc,urd,Urdu,1,1,0.8,
ur_731350336b75eaac1ec82bb7fd9b0a29,urd,Urdu,0,1,0.85,
ur_ff04c785b7fea2ce0768b7c3884b5589,urd,Urdu,1,1,0.8,
ur_d629990e3f048a99ab2de46c6332b775,urd,Urdu,1,1,0.85,
ur_87c9edec39c9cc01a768456c18873583,urd,Urdu,1,1,0.75,
ur_07920b54af7e7f64b5a7056b95b29ea0,urd,Urdu,0,1,0.85,
ur_956c8bc2de36886cab38d2f8c95da851,urd,Urdu,1,1,0.85,
ur_93ff368285434078653cc229f26d54be,urd,Urdu,0,1,0.8,
ur_da37a48f4b9d8906ba3cc4e248fd4127,urd,Urdu,1,1,0.85,
ur_5d5ada227023acf511ff68783bd668b3,urd,Urdu,1,1,0.8,
ur_395b30b5c95b4d664b5cd8dabae94db4,urd,Urdu,1,1,0.85,
ur_2ca022d52f8a9e06ed7ac3a284eaffc3,urd,Urdu,1,0,0.8,
ur_12b42d3fe5a3481c4eae8b0e366a9d43,urd,Urdu,0,0,0.7,
ur_5e8d7ce6647f0f1f6c3c59f4a25149f8,urd,Urdu,1,1,0.85,
ur_7d494db1f52ab3447c966a334314920d,urd,Urdu,0,1,0.75,
